Recipe ID,Recipe Title,Recipe Category,Recipe Ingredients Quantities,Recipe Instructions,Description,Blood Pressure,Blood Sugar,High Cholesterol,Diabetes,Allergies_Meat,Allergies_Eggs,Allergies_Fish,Allergies_Peanuts,Gluten-Free,Lactose-Intolerant,Vegan,Vegetarian
1,Chapati,Bread,"All-Purpose Flour (2 cups), Water (1 cup), Salt (1/2 tsp), Oil (2 tbsp)","1. Mix flour, salt, and water to form a dough. 2. Divide into balls. 3. Roll into flat circles. 4. Cook on a griddle.","Soft and flaky Kenyan flatbread",#,#,#,#,,,,#,
2,Nyama Fry,Meat,"Beef (500g), Soy Sauce (2 tbsp), Garlic (3 cloves), Ginger (1 tsp)","1. Marinate beef in soy sauce, garlic, and ginger. 2. Fry until browned. 3. Serve with a side of vegetables.","Flavorful stir-fried meat dish",#,#,#,#,,,,,#,
3,Ugali,Staple,"Maize Flour (2 cups), Water (3 cups)","1. Boil water. 2. Gradually add maize flour, stirring to avoid lumps. 3. Cook until a thick consistency is achieved.","Staple Kenyan dish made from maize flour",#,#,#,#,,,,#,
4,Sukuma Wiki and Rice,Main Dish,"Sukuma Wiki (200g), Rice (1 cup), Onion (1), Tomatoes (2)","1. Cook rice. 2. Saute onions and tomatoes. 3. Add Sukuma Wiki and stir until cooked. 4. Serve over rice.","Balanced and nutritious meal with greens and rice",#,#,#,#,,,,#,
5,Fish Stew,Seafood,"Tilapia Fillets (4), Coconut Milk (1 cup), Tomatoes (3), Curry Powder (1 tsp)","1. Cook fish in coconut milk. 2. Add tomatoes and curry powder. 3. Simmer until fish is tender.","A flavorful fish stew with a hint of coconut",#,#,#,#,,,,,#,
78,Kachori Chaat,Snack,"Green Gram Lentils (1 cup), Flour (1 cup), Potatoes (2), Tamarind Chutney (2 tbsp), Yogurt (1/2 cup)","1. Cook lentils. 2. Prepare dough with flour and fry into balls. 3. Stuff with spiced potatoes. 4. Top with yogurt and tamarind chutney.","A delightful Indian-inspired chaat featuring lentil-stuffed fried balls",#,#,#,#,#,#,#,#,#,#,
79,Masala Tea Popsicles,Dessert,"Black Tea Leaves (2 tsp), Water (1 cup), Milk (1/4 cup), Sugar (to taste), Chai Masala (1/2 tsp)","1. Brew tea with chai masala. 2. Add milk and sugar. 3. Freeze in popsicle molds.","A frozen treat with the flavors of masala tea in delightful popsicles",#,#,#,#,#,#,#,#,#,#,
80,Sukuma Wiki Wrap,Bread,"Sukuma Wiki (200g), Chapati (2), Avocado (1), Tomato (1), Mayonnaise (2 tbsp)","1. Saute Sukuma Wiki. 2. Spread mayonnaise on chapati. 3. Add sauteed greens, sliced avocado, and tomato. 4. Roll into a wrap.","A wholesome wrap filled with sauteed Sukuma Wiki, avocado, and mayo",#,#,#,#,#,#,#,#,#,#,
81,Kunde (Cowpeas) Curry,Main Dish,"Cowpeas (1 cup), Coconut Milk (1 cup), Onion (1), Garlic (2 cloves), Curry Powder (1 tsp)","1. Cook cowpeas. 2. Saute onions, garlic, and curry powder. 3. Add coconut milk. 4. Simmer until flavors meld.","A rich and aromatic curry featuring tender cowpeas in coconut milk",#,#,#,#,#,#,#,#,#,#,
82,Mahamri (Swahili Doughnuts),Dessert,"All-Purpose Flour (2 cups), Coconut Milk (1/2 cup), Sugar (1/4 cup), Coconut Flakes (for garnish)","1. Mix flour, coconut milk, and sugar into a dough. 2. Shape into rounds and fry until golden. 3. Garnish with coconut flakes.","Sweet and fluffy Swahili doughnuts, a delightful treat",#,#,#,#,#,#,#,#,#,#,
83,Pilipili Kuku (Spicy Chicken),Main Dish,"Chicken Pieces (500g), Chili Powder (1 tsp), Garlic (3 cloves), Ginger (1 tsp), Yogurt (1/4 cup)","1. Marinate chicken in chili powder, minced garlic, ginger, and yogurt. 2. Grill or roast until cooked.","Fiery and flavorful spicy chicken, a perfect dish for spice enthusiasts",#,#,#,#,#,#,#,#,#,#,
84,Mango Bhel Salad,Salad,"Raw Mango (1), Puffed Rice (1 cup), Onion (1), Tomatoes (2), Cilantro (1/4 cup)","1. Dice mango, onions, and tomatoes. 2. Mix with puffed rice and chopped cilantro.","A tangy and crunchy salad featuring the sweetness of ripe mangoes",#,#,#,#,#,#,#,#,#,#,
85,Sukuma Wiki and Lentil Samosas,Snack,"Sukuma Wiki (200g), Red Lentils (1/2 cup), Flour (1 cup), Oil (for frying)","1. Cook lentils and saute Sukuma Wiki. 2. Mix with flour to form a dough. 3. Fill with lentil and greens mixture, then fry.","Triangular pastries filled with spiced lentils and sauteed Sukuma Wiki",#,#,#,#,#,#,#,#,#,#,
86,Maharagwe (Kenyan Bean Stew),Main Dish,"Kidney Beans (1 cup), Coconut Milk (1 cup), Onion (1), Garlic (2 cloves), Tomato Paste (2 tbsp)","1. Cook kidney beans. 2. Saute onions, garlic, and tomato paste. 3. Add coconut milk. 4. Simmer until thickened.","A creamy and satisfying Kenyan bean stew with the richness of coconut milk",#,#,#,#,#,#,#,#,#,#,
87,Sukuma Wiki and Lentil Curry,Main Dish,"Sukuma Wiki (200g), Red Lentils (1/2 cup), Coconut Milk (1 cup), Onion (1), Curry Powder (1 tsp)","1. Cook lentils and saute Sukuma Wiki. 2. Add coconut milk, onions, and curry powder. 3. Simmer until flavors meld.","A flavorful and nutritious curry featuring lentils and sauteed Sukuma Wiki",#,#,#,#,#,#,#,#,#,#,
88,Coconut Mandazi with Pineapple,Snack,"All-Purpose Flour (2 cups), Coconut Milk (1 cup), Sugar (1/4 cup), Pineapple (1 cup, diced), Oil (for frying)","1. Mix flour, coconut milk, and sugar into a dough. 2. Incorporate diced pineapple. 3. Cut into shapes and fry until golden.","Sweet fried dough with coconut and bursts of juicy pineapple",#,#,#,#,#,#,#,#,#,#,
89,Kamande (Cowpeas) Salad,Salad,"Cowpeas (1 cup, boiled), Avocado (1), Red Onion (1), Cilantro (1/4 cup), Lemon Juice (2 tbsp)","1. Mix boiled cowpeas with diced avocado, red onion, cilantro. 2. Drizzle with lemon juice.","A refreshing salad featuring protein-packed cowpeas and creamy avocado",#,#,#,#,#,#,#,#,#,#,
90,Mango Lassi Smoothie,Beverage,"Ripe Mango (1), Yogurt (1/2 cup), Milk (1/2 cup), Honey (2 tbsp)","1. Blend ripe mango, yogurt, milk, and honey until smooth.","A deliciously smooth and tropical mango lassi in refreshing smoothie form",#,#,#,#,#,#,#,#,#,#,
91,Kunde (Cowpeas) Stew,Main Dish,"Cowpeas (1 cup), Tomatoes (2), Onion (1), Garlic (2 cloves), Paprika (1 tsp)","1. Cook cowpeas. 2. Saute onions, garlic, and paprika. 3. Add diced tomatoes. 4. Simmer until well-cooked.","A flavorful stew showcasing the earthy taste of cowpeas in a rich tomato base",#,#,#,#,#,#,#,#,#,#,
92,Sweet Potato Chapati,Bread,"Sweet Potatoes (2, boiled and mashed), Wheat Flour (2 cups), Water (1/2 cup), Oil (2 tbsp)","1. Mix sweet potatoes, wheat flour, water, and oil into a dough. 2. Roll into flat circles and cook on a griddle.","Soft chapati with the natural sweetness and vibrant color of sweet potatoes",#,#,#,#,#,#,#,#,#,#,
93,Kachumbari Stuffed Avocado,Appetizer,"Avocado (2), Tomatoes (2), Onion (1), Cilantro (1/4 cup), Lemon Juice (2 tbsp)","1. Dice tomatoes, onions, and cilantro. 2. Mix with lemon juice. 3. Stuff avocados with the kachumbari mixture.","A light and refreshing appetizer featuring avocados stuffed with vibrant kachumbari",#,#,#,#,#,#,#,#,#,#,
94,Pumpkin Stew with Groundnut,Main Dish,"Pumpkin (2 cups, diced), Groundnut Paste (1/2 cup), Onion (1), Garlic (2 cloves), Vegetable Broth (1 cup)","1. Saute onions and garlic. 2. Add diced pumpkin, groundnut paste, and vegetable broth. 3. Simmer until pumpkin is tender.","A comforting stew featuring the natural sweetness of pumpkin and the richness of groundnut paste",#,#,#,#,#,#,#,#,#,#,
95,Cassava Fries with Chili Dip,Appetizer,"Cassava (2 cups, cut into fries), Oil (for frying), Chili Sauce (1/4 cup)","1. Fry cassava fries until golden. 2. Serve with a spicy chili dip.","Crispy cassava fries with a spicy kick, perfect for snacking",#,#,#,#,#,#,#,#,#,#,
96,Kenyan Sukuma Wiki Pizza,Pizza,"Pizza Dough (1 ball), Sukuma Wiki (200g, sauteed), Tomato Sauce (1/2 cup), Mozzarella Cheese (1 cup), Olive Oil (1 tbsp)","1. Roll out pizza dough. 2. Spread tomato sauce. 3. Add sauteed Sukuma Wiki. 4. Top with mozzarella cheese. 5. Drizzle with olive oil. 6. Bake until crust is golden and cheese is bubbly.","A unique Kenyan twist on pizza featuring the goodness of Sukuma Wiki",#,#,#,#,#,#,#,#,#,#,
97,Mango and Avocado Salsa,Salsa,"Mango (1, diced), Avocado (1, diced), Red Onion (1, finely chopped), Cilantro (1/4 cup, chopped), Lime Juice (2 tbsp)","1. Combine diced mango, avocado, red onion, and cilantro. 2. Drizzle with lime juice.","A vibrant and fruity salsa with the sweetness of mango and creaminess of avocado",#,#,#,#,#,#,#,#,#,#,
98,Bhajia (Spiced Potato Fritters),Appetizer,"Potatoes (2, thinly sliced), Chickpea Flour (1 cup), Turmeric (1/2 tsp), Chili Powder (1 tsp), Water (1/2 cup), Oil (for frying)","1. Mix chickpea flour, turmeric, chili powder, and water into a batter. 2. Dip potato slices and fry until golden.","Spiced potato fritters, a popular Kenyan street food snack",#,#,#,#,#,#,#,#,#,#,
99,Kienyeji Chicken Roast,Main Dish,"Kienyeji Chicken (1, whole), Ginger-Garlic Paste (2 tbsp), Yogurt (1/2 cup), Paprika (1 tsp), Garam Masala (1 tsp), Lemon Juice (2 tbsp)","1. Marinate chicken in ginger-garlic paste, yogurt, paprika, garam masala, and lemon juice. 2. Roast until golden and cooked through.","A flavorful and aromatic roasted Kienyeji chicken, perfect for special occasions",#,#,#,#,#,#,#,#,#,#,
100,Kamande (Cowpeas) Pilau,Main Dish,"Rice (1 cup), Cowpeas (1/2 cup, boiled), Onions (1), Pilau Masala (2 tsp), Garlic (2 cloves), Vegetable Broth (2 cups)","1. Saute onions and garlic. 2. Add rice, boiled cowpeas, pilau masala, and vegetable broth. 3. Cook until rice is fluffy.","A fragrant and hearty pilau featuring the wholesome goodness of cowpeas",#,#,#,#,#,#,#,#,#,#,
101,Sukuma Wiki Omelette,Breakfast,"Eggs (2), Sukuma Wiki (1 cup, finely chopped), Onion (1, finely chopped), Tomato (1, diced), Salt (to taste), Oil (1 tbsp)","1. Saute onions and Sukuma Wiki. 2. Beat eggs and pour over the sauteed mixture. 3. Add diced tomatoes. 4. Cook until eggs are set.","A nutritious and flavorful omelette with the goodness of Sukuma Wiki",#,#,#,#,#,#,#,#,#,#,
102,Mango Chutney,Condiment,"Mangoes (2, diced), Red Onion (1, finely chopped), Ginger (1 tsp, grated), Chili Flakes (1/2 tsp), Brown Sugar (2 tbsp), Vinegar (2 tbsp)","1. Combine diced mangoes, red onion, ginger, chili flakes, brown sugar, and vinegar. 2. Simmer until thickened.","A sweet and tangy chutney with the tropical flavor of mangoes",#,#,#,#,#,#,#,#,#,#,
103,Managu and Lentil Soup,Soup,"Managu (1 cup, chopped), Red Lentils (1/2 cup), Onion (1), Garlic (2 cloves), Vegetable Broth (4 cups), Turmeric (1/2 tsp)","1. Saute onions and garlic. 2. Add Managu, red lentils, vegetable broth, and turmeric. 3. Simmer until lentils are tender.","A nourishing and comforting soup featuring the leafy green Managu and protein-rich lentils",#,#,#,#,#,#,#,#,#,#,
104,Fruity Yogurt Parfait,Dessert,"Yogurt (1 cup), Granola (1/2 cup), Mixed Berries (1/2 cup), Honey (2 tbsp), Nuts (1/4 cup, chopped)","1. Layer yogurt, granola, mixed berries, and nuts in a glass. 2. Drizzle with honey.","A delightful and healthy parfait with the goodness of yogurt, berries, and nuts",#,#,#,#,#,#,#,#,#,#,
105,Kenyan Masala Chai,Beverage,"Black Tea Leaves (2 tsp), Water (1 cup), Milk (1/2 cup), Ginger (1 tsp, grated), Cardamom (2 pods), Sugar (to taste)","1. Boil tea leaves, water, ginger, and cardamom. 2. Add milk and sugar. 3. Strain and serve hot.","A spiced and aromatic Kenyan masala chai, perfect for cozy evenings",#,#,#,#,#,#,#,#,#,#,
106,Sweet Potato Chapati,Bread,"Sweet Potatoes (2, boiled and mashed), Wheat Flour (1 cup), Water (1/2 cup), Salt (1/2 tsp), Oil (1 tbsp)","1. Mix mashed sweet potatoes, wheat flour, water, and salt to form a dough. 2. Divide into balls and roll into chapatis. 3. Cook on a griddle with a drizzle of oil.","Chapatis with a sweet twist, combining the goodness of sweet potatoes and whole wheat",#,#,#,#,#,#,#,#,#,#,
107,Coconut Bean Soup,Soup,"Black Beans (1 cup, cooked), Coconut Milk (1 cup), Onion (1), Garlic (2 cloves), Cumin (1/2 tsp), Coriander (1/2 tsp), Vegetable Broth (2 cups)","1. Saute onions and garlic. 2. Add cooked black beans, coconut milk, cumin, coriander, and vegetable broth. 3. Simmer until flavors meld.","A creamy and flavorful bean soup infused with the tropical taste of coconut",#,#,#,#,#,#,#,#,#,#,
108,Kachori Snack,Snack,"Green Grams (1/2 cup, soaked), Wheat Flour (1 cup), Onion (1, finely chopped), Green Chili (1, finely chopped), Cumin Seeds (1/2 tsp), Oil (for frying)","1. Mix soaked green grams, wheat flour, chopped onion, green chili, and cumin seeds to form a dough. 2. Shape into balls, flatten, and fry until golden.","Deep-fried savory balls filled with a spiced mixture of green grams and onions",#,#,#,#,#,#,#,#,#,#,
109,Cassava Fries,Appetizer,"Cassava (2, peeled and cut into fries), Olive Oil (2 tbsp), Paprika (1 tsp), Garlic Powder (1/2 tsp), Salt (to taste)","1. Toss cassava fries with olive oil, paprika, garlic powder, and salt. 2. Bake until golden and crispy.","A delicious and healthy alternative to traditional fries, using cassava for a unique flavor",#,#,#,#,#,#,#,#,#,#,
110,Sukuma Wiki Salad,Salad,"Sukuma Wiki (1 cup, blanched), Cherry Tomatoes (1 cup, halved), Feta Cheese (1/4 cup, crumbled), Balsamic Vinaigrette (2 tbsp)","1. Combine blanched Sukuma Wiki, cherry tomatoes, and crumbled feta cheese. 2. Drizzle with balsamic vinaigrette.","A refreshing and nutrient-packed salad featuring the vibrant Sukuma Wiki",#,#,#,#,#,#,#,#,#,#,
111,Swahili Coconut Pancakes,Breakfast,"All-Purpose Flour (1 cup), Coconut Milk (1 cup), Sugar (2 tbsp), Baking Powder (1 tsp), Vanilla Extract (1/2 tsp), Coconut Flakes (for garnish)","1. Mix flour, coconut milk, sugar, baking powder, and vanilla extract to form a batter. 2. Cook pancakes and garnish with coconut flakes.","Delicious and fluffy coconut-infused pancakes, a delightful Swahili breakfast treat",#,#,#,#,#,#,#,#,#,#,
112,Mango Lassi Smoothie,Beverage,"Mango (1, peeled and diced), Yogurt (1/2 cup), Milk (1/2 cup), Honey (2 tbsp), Cardamom (1/2 tsp)","1. Blend mango, yogurt, milk, honey, and cardamom until smooth. 2. Serve chilled.","A refreshing and tropical smoothie with the goodness of mango, yogurt, and a hint of cardamom",#,#,#,#,#,#,#,#,#,#,
113,Kenyan Lentil Curry,Vegetarian,"Red Lentils (1 cup, cooked), Coconut Milk (1/2 cup), Onion (1), Garlic (2 cloves), Curry Powder (1 tsp), Turmeric (1/2 tsp)","1. Saute onions and garlic. 2. Add cooked red lentils, coconut milk, curry powder, and turmeric. 3. Simmer until flavors meld.","A rich and hearty lentil curry with Kenyan-inspired flavors",#,#,#,#,#,#,#,#,#,#,
114,Sweet Plantain Bites,Appetizer,"Ripe Plantains (2, sliced), Cinnamon (1 tsp), Brown Sugar (2 tbsp), Olive Oil (1 tbsp)","1. Toss plantain slices with cinnamon and brown sugar. 2. Pan-fry until caramelized.","Irresistible sweet plantain bites, perfect for snacking or as a side dish",#,#,#,#,#,#,#,#,#,#,
115,Chai-Spiced Oatmeal,Breakfast,"Oats (1 cup), Milk (1 cup), Chai Spice Mix (1 tsp), Honey (2 tbsp), Almonds (1/4 cup, chopped)","1. Cook oats with milk and chai spice mix until creamy. 2. Drizzle with honey and top with chopped almonds.","A warming and flavorful oatmeal infused with the aromatic spices of chai",#,#,#,#,#,#,#,#,#,#,
116,Spicy Mango Salsa,Appetizer,"Mango (1, diced), Red Onion (1/2, finely chopped), Jalapeño (1, minced), Cilantro (2 tbsp, chopped), Lime Juice (2 tbsp)","1. Combine diced mango, red onion, minced jalapeño, chopped cilantro, and lime juice. 2. Mix well and refrigerate.","A zesty and spicy mango salsa, perfect for dipping or topping grilled dishes",#,#,#,#,#,#,#,#,#,#,
117,Kenyan Coffee Bites,Snack,"Ground Coffee (1/2 cup), Dates (1/2 cup, pitted), Almonds (1/4 cup), Cocoa Powder (2 tbsp), Vanilla Extract (1/2 tsp)","1. Blend ground coffee, pitted dates, almonds, cocoa powder, and vanilla extract. 2. Roll into bite-sized balls.","Energy-boosting coffee-flavored bites, a delightful Kenyan-inspired snack",#,#,#,#,#,#,#,#,#,#,
118,Coconut Fish Curry,Seafood,"White Fish Fillets (4), Coconut Milk (1 cup), Tomato (1, diced), Ginger (1 tsp, grated), Curry Leaves (a few), Turmeric (1/2 tsp)","1. Cook fish in coconut milk with diced tomato, grated ginger, curry leaves, and turmeric. 2. Simmer until fish is cooked.","A tropical twist on fish curry, with the creaminess of coconut and aromatic spices",#,#,#,#,#,#,#,#,#,#,
119,Cucumber Mint Cooler,Beverage,"Cucumber (1, sliced), Mint Leaves (1/4 cup), Lemon Juice (2 tbsp), Sugar (1 tbsp), Soda Water (1 cup)","1. Muddle cucumber slices, mint leaves, lemon juice, and sugar. 2. Top with soda water and stir.","A refreshing and hydrating cooler with the crispness of cucumber and the coolness of mint",#,#,#,#,#,#,#,#,#,#,
120,Nairobi Nachos,Appetizer,"Tortilla Chips (2 cups), Black Beans (1/2 cup, cooked), Cheese (1 cup, shredded), Jalapeños (1/4 cup, sliced), Sour Cream (1/2 cup)","1. Arrange tortilla chips on a plate. 2. Top with black beans, shredded cheese, and sliced jalapeños. 3. Drizzle with sour cream.","A Kenyan-inspired nacho dish with a Nairobi twist, featuring black beans and jalapeños",#,#,#,#,#,#,#,#,#,#,
121,Kienyeji Chicken Stew,Main Dish,"Kienyeji Chicken (1, cut into pieces), Potatoes (2, diced), Carrots (2, sliced), Tomato Sauce (1/2 cup), Paprika (1 tsp)","1. Brown kienyeji chicken. 2. Add diced potatoes, sliced carrots, tomato sauce, and paprika. 3. Simmer until chicken is tender.","A hearty and flavorful chicken stew made with traditional Kienyeji chicken",#,#,#,#,#,#,#,#,#,#,
122,Chapati Pizza,Bread,"Chapati (2), Tomato Sauce (1/2 cup), Bell Peppers (1/2 cup, sliced), Olives (1/4 cup, sliced), Mozzarella Cheese (1/2 cup, shredded)","1. Spread tomato sauce on chapatis. 2. Top with bell peppers, olives, and shredded mozzarella. 3. Bake until cheese is melted.","A fusion of Kenyan and Italian flavors with a chapati-based pizza crust",#,#,#,#,#,#,#,#,#,#,
123,Ginger Lemon Chicken,Main Dish,"Chicken Breast (2), Ginger (1 tbsp, grated), Lemon Juice (2 tbsp), Garlic Powder (1 tsp), Soy Sauce (1 tbsp)","1. Marinate chicken in grated ginger, lemon juice, garlic powder, and soy sauce. 2. Grill or bake until cooked through.","A zesty and tangy chicken dish with the warmth of ginger and the freshness of lemon",#,#,#,#,#,#,#,#,#,#,
124,Spinach and Plantain Salad,Salad,"Baby Spinach (2 cups), Ripe Plantains (2, sliced), Red Onion (1, thinly sliced), Balsamic Vinaigrette (2 tbsp)","1. Toss baby spinach, sliced ripe plantains, and thinly sliced red onion. 2. Drizzle with balsamic vinaigrette.","A unique and nutritious salad combining the earthiness of spinach and the sweetness of ripe plantains",#,#,#,#,#,#,#,#,#,#,
125,Masala Chai Ice Cream,Dessert,"Whole Milk (1 cup), Tea Bags (4), Heavy Cream (1 cup), Sugar (3/4 cup), Cardamom (1/2 tsp)","1. Infuse tea bags in whole milk. 2. Combine with heavy cream, sugar, and cardamom. 3. Churn into ice cream.","A delightful dessert with the spiced warmth of masala chai in a creamy ice cream",#,#,#,#,#,#,#,#,#,#,
126,Avocado Toast,Breakfast,"Whole Grain Bread (2 slices), Avocado (1, mashed), Cherry Tomatoes (1/2 cup, sliced), Olive Oil (1 tbsp), Salt (to taste)","1. Toast whole grain bread slices. 2. Spread mashed avocado on the toast. 3. Top with sliced cherry tomatoes. 4. Drizzle with olive oil and sprinkle with salt.","A trendy and nutritious breakfast option with creamy avocado and fresh tomatoes",#,#,#,#,#,#,#,#,#,#,
127,Sukuma Wiki Omelette,Breakfast,"Eggs (2), Sukuma Wiki (1 cup, chopped), Onion (1/2, finely chopped), Salt (to taste), Black Pepper (to taste)","1. Saute chopped sukuma wiki and onions. 2. Whisk eggs and pour over the veggies. 3. Cook into an omelette. 4. Season with salt and black pepper.","A Kenyan-inspired omelette featuring the vibrant flavors of sukuma wiki",#,#,#,#,#,#,#,#,#,#,
128,Mango Lassi,Beverage,"Ripe Mango (1, peeled and diced), Yogurt (1 cup), Milk (1/2 cup), Honey (2 tbsp), Cardamom Powder (1/2 tsp)","1. Blend ripe mango, yogurt, milk, honey, and cardamom powder until smooth.","A refreshing and sweet yogurt-based drink with the tropical goodness of mango",#,#,#,#,#,#,#,#,#,#,
129,Kachori Chaat,Snack,"Kachori (4), Chickpeas (1/2 cup, boiled), Yogurt (1/2 cup), Tamarind Chutney (2 tbsp), Chaat Masala (1 tsp)","1. Crush kachori and place on a plate. 2. Top with boiled chickpeas, yogurt, tamarind chutney, and chaat masala.","A delightful and flavorful chaat featuring crispy kachori and tangy toppings",#,#,#,#,#,#,#,#,#,#,
130,Sweet Potato Curry,Vegetarian,"Sweet Potatoes (2, diced), Coconut Milk (1 cup), Red Curry Paste (2 tbsp), Bell Peppers (1/2 cup, sliced), Cilantro (for garnish)","1. Cook sweet potatoes in coconut milk with red curry paste. 2. Add sliced bell peppers. 3. Garnish with cilantro.","A vegetarian curry with the sweetness of sweet potatoes and the richness of coconut milk",#,#,#,#,#,#,#,#,#,#,
131,Banana Pancakes,Breakfast,"Ripe Bananas (2), All-Purpose Flour (1 cup), Milk (3/4 cup), Baking Powder (1 tsp), Vanilla Extract (1/2 tsp)","1. Mash ripe bananas. 2. Mix with flour, milk, baking powder, and vanilla extract. 3. Cook into pancakes.","Fluffy and flavorful banana pancakes, a delightful breakfast treat",#,#,#,#,#,#,#,#,#,#,
132,Coconut Chickpea Curry,Vegetarian,"Chickpeas (1 can, drained), Coconut Milk (1 can), Onion (1, finely chopped), Garlic (2 cloves, minced), Curry Powder (1 tbsp)","1. Saute chopped onion and minced garlic. 2. Add drained chickpeas and coconut milk. 3. Stir in curry powder. 4. Simmer until heated through.","A creamy and comforting chickpea curry with the tropical twist of coconut",#,#,#,#,#,#,#,#,#,#,
133,Pineapple Fried Rice,Main Dish,"Cooked Rice (2 cups), Pineapple (1 cup, diced), Shrimp (1/2 cup, cooked), Peas (1/2 cup), Soy Sauce (2 tbsp)","1. Stir-fry cooked rice with diced pineapple, cooked shrimp, peas, and soy sauce.","A tropical twist on fried rice with the sweetness of pineapple and succulent shrimp",#,#,#,#,#,#,#,#,#,#,
134,Mango Chicken Wrap,Bread,"Grilled Chicken Breast (1, sliced), Mango (1/2, sliced), Lettuce (1 cup, shredded), Tortilla Wraps (2), Greek Yogurt (2 tbsp)","1. Arrange grilled chicken, sliced mango, and shredded lettuce on tortilla wraps. 2. Drizzle with Greek yogurt.","A flavorful and light wrap featuring the combination of mango and grilled chicken",#,#,#,#,#,#,#,#,#,#,
135,Pumpkin Soup,Appetizer,"Pumpkin (2 cups, diced), Onion (1, chopped), Vegetable Broth (4 cups), Coconut Cream (1/2 cup), Nutmeg (1/4 tsp)","1. Saute chopped onion. 2. Add diced pumpkin and vegetable broth. 3. Simmer until pumpkin is tender. 4. Blend and stir in coconut cream. 5. Season with nutmeg.","A velvety and comforting pumpkin soup with a hint of coconut cream",#,#,#,#,#,#,#,#,#,#,
136,Chicken Shawarma,Main Dish,"Boneless Chicken Thighs (1 lb), Greek Yogurt (1/2 cup), Garlic (3 cloves, minced), Lemon Juice (2 tbsp), Cumin (1 tsp)","1. Marinate chicken in Greek yogurt, minced garlic, lemon juice, and cumin. 2. Grill until cooked. 3. Serve in flatbreads with your favorite toppings.","A Middle Eastern-inspired dish with flavorful marinated chicken in a wrap",#,#,#,#,#,#,#,#,#,#,
137,Vegetable Biryani,Main Dish,"Basmati Rice (1 cup), Mixed Vegetables (1 cup, diced), Onion (1, sliced), Biryani Masala (2 tsp), Cashews (2 tbsp)","1. Cook basmati rice. 2. Saute sliced onions and mixed vegetables. 3. Layer rice with vegetables, biryani masala, and cashews. 4. Steam until fragrant.","A fragrant and spiced rice dish with a medley of colorful vegetables",#,#,#,#,#,#,#,#,#,#,
138,Black Bean Tacos,Main Dish,"Black Beans (1 can, drained), Corn Tortillas (8), Avocado (1, sliced), Salsa (1/2 cup), Cilantro (for garnish)","1. Heat black beans. 2. Fill corn tortillas with black beans, sliced avocado, salsa, and garnish with cilantro.","A quick and satisfying taco recipe with protein-packed black beans",#,#,#,#,#,#,#,#,#,#,
139,Quinoa Salad,Salad,"Quinoa (1 cup, cooked), Cherry Tomatoes (1 cup, halved), Cucumber (1, diced), Feta Cheese (1/2 cup, crumbled), Balsamic Vinaigrette (2 tbsp)","1. Mix cooked quinoa with halved cherry tomatoes, diced cucumber, and crumbled feta cheese. 2. Drizzle with balsamic vinaigrette.","A refreshing and nutritious salad featuring quinoa, tomatoes, and feta",#,#,#,#,#,#,#,#,#,#,
140,Chicken Satay,Appetizer,"Chicken Breast (1 lb, sliced), Soy Sauce (2 tbsp), Peanut Butter (2 tbsp), Lime Juice (1 tbsp), Sriracha (1 tsp)","1. Marinate chicken in soy sauce, peanut butter, lime juice, and sriracha. 2. Skewer and grill until cooked. 3. Serve with peanut sauce.","A tasty and skewered chicken appetizer with a spicy peanut sauce",#,#,#,#,#,#,#,#,#,#,
141,Greek Salad,Salad,"Cucumbers (2, diced), Cherry Tomatoes (1 cup, halved), Kalamata Olives (1/2 cup, pitted), Feta Cheese (1/2 cup, crumbled), Greek Dressing (2 tbsp)","1. Combine diced cucumbers, halved cherry tomatoes, pitted Kalamata olives, and crumbled feta cheese. 2. Drizzle with Greek dressing.","A classic Greek salad with the freshness of tomatoes, cucumbers, and olives",#,#,#,#,#,#,#,#,#,#,
142,Spaghetti Aglio e Olio,Pasta,"Spaghetti (8 oz), Garlic (4 cloves, thinly sliced), Red Pepper Flakes (1/2 tsp), Olive Oil (1/3 cup), Parsley (1/4 cup, chopped)","1. Cook spaghetti. 2. Saute sliced garlic and red pepper flakes in olive oil. 3. Toss with cooked spaghetti. 4. Garnish with chopped parsley.","A simple and flavorful Italian pasta dish with garlic, olive oil, and red pepper flakes",#,#,#,#,#,#,#,#,#,#,
143,Tofu Stir-Fry,Main Dish,"Extra Firm Tofu (14 oz, cubed), Broccoli (1 cup, florets), Bell Peppers (1 cup, sliced), Soy Sauce (2 tbsp), Ginger (1 tsp, minced)","1. Stir-fry cubed tofu, broccoli florets, and sliced bell peppers in soy sauce and minced ginger.","A quick and healthy tofu stir-fry with vibrant vegetables and savory soy sauce",#,#,#,#,#,#,#,#,#,#,
144,Caprese Sandwich,Bread,"Ciabatta Bread (4 slices), Mozzarella Cheese (8 slices), Tomatoes (2, sliced), Fresh Basil (1/2 cup), Balsamic Glaze (2 tbsp)","1. Assemble sandwiches with ciabatta, mozzarella slices, tomato slices, and fresh basil. 2. Drizzle with balsamic glaze.","A classic Italian sandwich with the perfect combination of tomatoes, mozzarella, and basil",#,#,#,#,#,#,#,#,#,#,
